scrambled_id,year,month,day,mean_temp,high_temp,high_time,low_temp,low_time,heat_deg_days,cool_deg_days,rain,wind_avg,wind_hi,wind_hi_time,dom_dir,mean_barom,mean_hum,flagged,anomaly_note
SC70199,2005,12,29,24.1,27.9,2:07pm,21.2,6:16am,40,0,0.0,1,9,2:08pm,N,1015.23,53,N,
SC45367,2005,12,30,24.2,28.1,2:46pm,20.9,8:35am,40,0,0.0,1,9,3:48pm,ENE,1015.05,58,N,
SC34102,2005,12,31,24.9,28.3,1:32pm,22.3,6:29am,39,0,0.0,2,12,3:23pm,N,1014.72,58,N,
SC98746,2006,1,1,-0.8,27.7,2:32pm,20.4,5:11am,0,0,0.0,0,0,12:00pm,N,1014.88,74,Y,Extreme temperature
SC79443,2006,1,2,27.8,28.4,2:01pm,19.5,6:51am,0,0,1.0,0,0,12:00pm,N,1012.78,58,N,
SC38723,2006,1,3,29.2,29.9,2:05pm,22.0,5:34am,0,0,1.0,0,0,12:00pm,N,1013.3,58,N,
SC49709,2006,1,4,28.4,29.2,2:30pm,20.1,6:26pm,0,0,1.0,0,0,12:00pm,N,1011.49,60,N,
SC99443,2006,1,5,27.7,27.6,11:19pm,20.5,12:00am,0,0,1.0,0,0,12:00pm,N,1014.9,61,N,
SC58872,2006,1,6,28.5,29.4,2:11pm,23.6,6:35am,0,0,1.0,0,0,12:00pm,N,1013.29,59,N,
SC28536,2006,1,7,28.0,29.2,1:02pm,20.9,6:44am,0,0,1.0,0,2,12:00pm,N,1011.43,61,N,
SC73613,2006,1,8,26.1,28.6,12:23pm,21.9,9:06pm,0,0,18.0,0,0,12:00pm,N,1012.21,68,N,
SC38088,2006,1,9,27.4,31.0,12:59pm,24.9,7:22am,38,0,0.0,1,21,11:41am,NNW,1012.22,71,N,
SC34810,2006,1,10,27.0,30.1,11:13am,23.6,5:09am,39,0,0.0,1,27,2:30pm,NNW,1012.63,66,N,
SC70004,2006,1,11,26.4,29.4,1:05pm,23.6,6:47am,36,0,0.0,1,22,9:11am,N,1013.58,56,N,
SC85780,2006,1,12,27.1,30.3,1:47pm,22.1,6:58am,39,0,0.0,2,22,2:42pm,ENE,1010.26,65,N,
SC31007,2006,1,13,25.4,29.1,1:55pm,21.8,6:17am,37,0,0.0,1,22,2:49pm,NW,1010.22,61,N,
SC19274,2006,1,14,26.0,30.0,12:23pm,21.5,6:10am,39,0,0.0,2,22,1:02pm,ENE,1010.39,63,N,
SC49895,2006,1,15,26.6,30.6,1:02pm,22.6,6:38am,38,0,0.0,1,22,12:43am,ENE,1014.45,69,N,
SC95479,2006,1,16,25.6,29.0,1:15pm,21.9,6:44am,39,0,0.0,1,18,2:22pm,ENE,1010.96,60,N,
SC95633,2006,1,17,25.7,29.1,4:08pm,21.7,5:56am,39,0,0.0,1,18,1:30pm,ENE,1012.03,66,N,
SC29253,2006,1,18,25.6,31.3,1:55pm,20.6,6:31am,40,0,0.0,1,19,12:30pm,ENE,1012.95,68,N,
SC74744,2006,1,19,25.8,30.3,3:59pm,20.9,6:27am,40,0,0.0,1,19,1:00pm,ENE,1011.78,59,N,
SC92484,2006,1,20,25.5,31.0,11:00am,19.4,6:00am,0,0,0.0,0,0,12:00pm,N,1014.84,72,N,
SC93600,2006,1,21,25.8,32.4,12:30am,19.4,6:30am,0,0,0.0,0,0,12:00pm,N,1014.32,72,N,
SC92063,2006,1,22,26.5,33.6,11:30am,19.9,5:30am,0,0,0.0,0,0,12:00pm,N,1012.21,66,N,
SC83605,2006,1,23,24.9,31.7,1:00pm,20.1,7:00am,0,0,0.0,0,0,12:00pm,N,1014.26,67,N,
SC44500,2006,1,24,26.2,34.4,2:00pm,21.8,4:30am,0,0,0.0,0,0,12:00pm,N,1012.77,66,N,
SC90833,2006,1,25,26.6,35.0,1:30pm,22.2,6:30am,0,0,0.0,0,0,12:00pm,N,1011.24,71,N,
SC16470,2006,1,26,25.1,31.4,12:00pm,21.2,3:30am,0,0,0.0,0,0,12:00pm,N,1013.75,70,N,
SC22414,2006,1,27,24.7,28.7,12:00pm,20.3,7:00am,0,0,1.0,0,0,12:00pm,N,1013.85,39,N,
SC91093,2006,1,28,26.4,30.4,1:24pm,22.1,7:00am,0,0,1.0,0,0,12:00pm,N,1012.49,38,N,
SC51466,2006,1,29,27.4,30.4,12:00pm,22.1,6:26am,38,0,0.0,1,22,12:30pm,ENE,1012.96,38,N,
SC49265,2006,1,30,28.4,30.7,3:30pm,22.1,6:19am,38,0,0.0,1,21,1:27pm,ENE,1013.63,43,N,
SC20127,2006,1,31,26.4,30.2,1:13pm,22.6,6:05am,38,0,0.0,3,26,1:54pm,NNE,1016.0,61,N,
SC49674,2006,2,1,25.8,30.0,1:22pm,20.5,6:25am,39,0,0.0,3,27,2:05pm,NW,1014.84,65,N,
SC36295,2006,2,2,25.7,29.4,1:59pm,21.2,6:16am,39,0,0.0,4,24,12:55pm,NNW,1014.72,67,N,
SC29232,2006,2,3,27.3,31.1,1:09pm,22.0,6:44am,38,0,0.0,4,23,1:34pm,NE,1015.16,74,N,
SC89324,2006,2,4,27.2,30.9,1:31pm,21.3,6:31am,38,0,0.0,4,27,2:42pm,N,1015.2,76,N,
SC92859,2006,2,5,26.3,30.4,12:05pm,22.8,4:53am,38,0,0.0,3,23,2:04pm,NNW,1014.5,69,N,
SC76600,2006,2,6,26.5,32.2,1:39pm,23.0,6:17am,39,0,0.0,3,21,3:48pm,ENE,1013.58,65,N,
SC54760,2006,2,7,26.6,32.7,1:00pm,21.6,6:57am,39,0,0.0,3,24,4:03pm,ENE,1013.24,53,N,
SC59895,2006,2,8,24.9,30.2,2:12pm,18.9,5:03am,39,0,0.0,3,23,12:48pm,ENE,1014.07,53,N,
SC73295,2006,2,9,25.1,29.4,2:07pm,20.0,6:11am,40,0,0.0,3,21,2:31pm,NW,1015.93,69,N,
SC17865,2006,2,10,25.2,28.4,11:42am,19.2,6:41am,39,0,0.0,4,24,12:08pm,NW,1013.45,68,N,
SC74266,2006,2,11,26.1,30.6,2:48pm,21.0,5:49am,38,0,0.0,4,21,12:31pm,NNE,1015.79,68,N,
SC55717,2006,2,12,25.5,29.8,1:02pm,20.1,6:35am,39,0,0.0,4,24,1:56pm,ENE,1015.48,61,N,
SC47025,2006,2,13,26.6,31.4,3:12pm,21.7,5:54am,39,0,0.0,3,21,1:12pm,NW,1014.1,60,N,
SC70935,2006,2,14,25.1,30.6,1:54pm,20.0,6:36am,39,0,0.0,3,18,12:13pm,E,1012.82,56,N,
SC32096,2006,2,15,25.1,31.8,11:53am,19.9,6:08am,39,0,0.0,2,19,1:36pm,ESE,1011.11,65,N,
SC63521,2006,2,16,26.7,31.5,11:03am,18.0,6:09am,39,0,0.0,5,26,12:13pm,SE,1012.4,67,N,
SC20067,2006,2,17,26.5,30.7,10:50am,20.1,5:39am,39,0,0.0,4,23,11:29am,SE,1012.49,70,N,
SC42273,2006,2,18,28.2,32.0,12:39pm,22.5,6:24am,38,0,0.0,3,21,1:05pm,E,1012.25,71,N,
SC28206,2006,2,19,27.6,31.8,1:26pm,21.8,5:30am,38,0,0.0,3,21,12:03pm,E,1012.17,78,N,
SC88592,2006,2,20,27.2,31.2,1:23pm,21.1,6:21am,38,0,0.0,3,19,1:29pm,E,1010.74,77,N,
